Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.7476,-73.9785,Sunday,0,0,NormalDay,September,Night
B02512,40.748,-74.005,Sunday,0,0,NormalDay,September,Night
B02512,40.7488,-73.9921,Sunday,0,0,NormalDay,September,Night
B02512,40.7496,-73.995,Sunday,0,0,NormalDay,September,Night
B02512,40.7498,-74.0071,Sunday,0,0,NormalDay,September,Night
B02512,40.7499,-73.9763,Sunday,0,0,NormalDay,September,Night
B02512,40.7502,-74.0308,Sunday,0,0,NormalDay,September,Night
B02512,40.7502,-74.0044,Sunday,0,0,NormalDay,September,Night
B02512,40.7505,-73.979,Sunday,0,0,NormalDay,September,Night
B02512,40.751,-74.0056,Sunday,0,0,NormalDay,September,Night
B02512,40.751,-74.0042,Sunday,0,0,NormalDay,September,Night
B02512,40.751,-73.9722,Sunday,0,0,NormalDay,September,Night
B02512,40.7512,-73.9716,Sunday,0,0,NormalDay,September,Night
B02512,40.7515,-74.0034,Sunday,0,0,NormalDay,September,Night
B02512,40.7522,-73.9775,Sunday,0,0,NormalDay,September,Night
B02512,40.7546,-73.9717,Sunday,0,0,NormalDay,September,Night
B02512,40.7554,-73.9253,Sunday,0,0,NormalDay,September,Night
B02512,40.7567,-73.9977,Sunday,0,0,NormalDay,September,Night
B02512,40.7571,-73.9671,Sunday,0,0,NormalDay,September,Night
B02512,40.7579,-73.9277,Sunday,0,0,NormalDay,September,Night
B02512,40.7588,-73.9717,Sunday,0,0,NormalDay,September,Night
B02512,40.7591,-73.9827,Sunday,0,0,NormalDay,September,Night
B02512,40.7595,-73.9723,Sunday,0,0,NormalDay,September,Night
B02512,40.7597,-73.9895,Sunday,0,0,NormalDay,September,Night
B02512,40.7598,-73.9879,Sunday,0,0,NormalDay,September,Night
B02512,40.7599,-73.8316,Sunday,0,0,NormalDay,September,Night
B02512,40.761,-73.9985,Sunday,0,0,NormalDay,September,Night
B02512,40.761,-73.9864,Sunday,0,0,NormalDay,September,Night
B02512,40.761,-73.9811,Sunday,0,0,NormalDay,September,Night
B02512,40.761,-73.9794,Sunday,0,0,NormalDay,September,Night
B02512,40.7613,-73.9917,Sunday,0,0,NormalDay,September,Night
B02512,40.7616,-73.9234,Sunday,0,0,NormalDay,September,Night
B02512,40.7618,-73.9818,Sunday,0,0,NormalDay,September,Night
B02512,40.7624,-73.9719,Sunday,0,0,NormalDay,September,Night
B02512,40.7631,-73.9824,Sunday,0,0,NormalDay,September,Night
B02512,40.7634,-73.9808,Sunday,0,0,NormalDay,September,Night
B02512,40.7637,-73.9768,Sunday,0,0,NormalDay,September,Night
B02512,40.7639,-73.974,Sunday,0,0,NormalDay,September,Night
B02512,40.7651,-73.9769,Sunday,0,0,NormalDay,September,Night
B02512,40.7653,-73.9634,Sunday,0,0,NormalDay,September,Night
B02512,40.7653,-73.9613,Sunday,0,0,NormalDay,September,Night
B02512,40.7662,-73.9952,Sunday,0,0,NormalDay,September,Night
B02512,40.7664,-73.9937,Sunday,0,0,NormalDay,September,Night
B02512,40.767,-73.9125,Sunday,0,0,NormalDay,September,Night
B02512,40.7677,-73.9834,Sunday,0,0,NormalDay,September,Night
B02512,40.7709,-73.959,Sunday,0,0,NormalDay,September,Night
B02512,40.7713,-74.0133,Sunday,0,0,NormalDay,September,Night
B02512,40.7713,-73.9597,Sunday,0,0,NormalDay,September,Night
B02512,40.7714,-73.9267,Sunday,0,0,NormalDay,September,Night
B02512,40.7742,-73.963,Sunday,0,0,NormalDay,September,Night
B02512,40.7751,-73.9533,Sunday,0,0,NormalDay,September,Night
B02512,40.7778,-73.9521,Sunday,0,0,NormalDay,September,Night
B02512,40.7789,-73.9557,Sunday,0,0,NormalDay,September,Night
B02512,40.7792,-73.9767,Sunday,0,0,NormalDay,September,Night
B02512,40.7792,-73.9509,Sunday,0,0,NormalDay,September,Night
B02512,40.7806,-73.9582,Sunday,0,0,NormalDay,September,Night
B02512,40.7808,-73.9727,Sunday,0,0,NormalDay,September,Night
B02512,40.7833,-73.9491,Sunday,0,0,NormalDay,September,Night
B02512,40.7945,-73.9716,Sunday,0,0,NormalDay,September,Night
B02512,40.8161,-74.2668,Sunday,0,0,NormalDay,September,Night
B02512,40.8289,-73.9488,Sunday,0,0,NormalDay,September,Night
B02512,40.8314,-73.9465,Sunday,0,0,NormalDay,September,Night
B02512,40.8323,-74.1663,Sunday,0,0,NormalDay,September,Night
B02512,40.8344,-73.829,Sunday,0,0,NormalDay,September,Night
B02512,40.8585,-73.8851,Sunday,0,0,NormalDay,September,Night
B02512,40.8618,-73.9301,Sunday,0,0,NormalDay,September,Night
B02512,40.976,-73.6593,Sunday,0,0,NormalDay,September,Night
B02512,41.017,-73.718,Sunday,0,0,NormalDay,September,Night
B02512,41.0292,-73.765,Sunday,0,0,NormalDay,September,Night
B02512,40.2201,-74.0021,Monday,1,0,NormalDay,September,Night
B02512,40.3745,-73.9999,Monday,1,0,NormalDay,September,Night
B02512,40.4023,-73.9839,Monday,1,0,NormalDay,September,Night
B02512,40.6607,-73.9939,Monday,1,0,NormalDay,September,Night
B02512,40.6613,-74.2691,Monday,1,0,NormalDay,September,Night
B02512,40.6725,-73.9577,Monday,1,0,NormalDay,September,Night
B02512,40.6735,-73.9918,Monday,1,0,NormalDay,September,Night
B02512,40.679,-74.0111,Monday,1,0,NormalDay,September,Night
B02512,40.6876,-74.182,Monday,1,0,NormalDay,September,Night
B02512,40.6918,-73.9717,Monday,1,0,NormalDay,September,Night
B02512,40.695,-73.953,Monday,1,0,NormalDay,September,Night
B02512,40.7163,-74.0324,Monday,1,0,NormalDay,September,Night
B02512,40.7192,-73.9643,Monday,1,0,NormalDay,September,Night
B02512,40.7198,-74.0001,Monday,1,0,NormalDay,September,Night
B02512,40.7214,-73.9884,Monday,1,0,NormalDay,September,Night
B02512,40.7218,-73.9845,Monday,1,0,NormalDay,September,Night
B02512,40.7262,-73.9951,Monday,1,0,NormalDay,September,Night
B02512,40.7327,-74.0033,Monday,1,0,NormalDay,September,Night
B02512,40.7333,-73.9988,Monday,1,0,NormalDay,September,Night
B02512,40.7378,-74.0395,Monday,1,0,NormalDay,September,Night
B02512,40.7391,-73.9915,Monday,1,0,NormalDay,September,Night
B02512,40.7416,-74.0037,Monday,1,0,NormalDay,September,Night
B02512,40.745,-73.9889,Monday,1,0,NormalDay,September,Night
B02512,40.7452,-73.987,Monday,1,0,NormalDay,September,Night
B02512,40.7467,-73.6131,Monday,1,0,NormalDay,September,Night
B02512,40.7471,-73.6472,Monday,1,0,NormalDay,September,Night
B02512,40.75,-74.0027,Monday,1,0,NormalDay,September,Night
B02512,40.7546,-74.0069,Monday,1,0,NormalDay,September,Night
B02512,40.7549,-73.9845,Monday,1,0,NormalDay,September,Night
B02512,40.7559,-73.9864,Monday,1,0,NormalDay,September,Night
B02512,40.756,-73.9872,Monday,1,0,NormalDay,September,Night
